human_baseline_labels,original_model_preds,instruct_model_preds,peft_model_preds
entailment,neutral,entailment,entailment
contradiction,contradiction,entailment,entailment
neutral,entail,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,contradiction,contradiction
contradiction,neutral,entailment,entailment
neutral,entails,contradiction,contradiction
entailment,entailment,entailment,entailment
contradiction,entailment,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entail,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,contradiction,contradiction
neutral,entail,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,contradiction,contradiction
neutral,evaluating,entailment,entailment
entailment,Contrast,entailment,entailment
contradiction,contradiction,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,contradiction,contradiction
contradiction,contradiction,neutral,neutral
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral and noncontradictory,entailment,entailment
contradiction,"entailment, neutral and contradiction",entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,contradiction,contradiction
contradiction,entail,entailment,entailment
neutral,neutral,neutral,neutral
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,neutral,neutral
contradiction,entailment,entailment,entailment
neutral,entailment,contradiction,contradiction
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,contradiction,contradiction
contradiction,contradiction,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,neutral,no,no
neutral,neutral,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,contradiction,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,contradiction,contradiction
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,neutral,contradiction,contradiction
neutral,neutral,entailment,entailment
entailment,contradiction,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,neutral,neutral,neutral
entailment,entailment,entailment,entailment
contradiction,acetate,entailment,entailment
neutral,neutral,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,a.,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,"entailment, neutral and contradiction",entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,contradiction,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entail,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,contradiction,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,no,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entail,entailment,entailment
contradiction,entailment,neutral,neutral
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,ac,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entail,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,s/p,contradiction,contradiction
neutral,neutral,entailment,entailment
entailment,neutral,contradiction,contradiction
contradiction,entailment,contradiction,contradiction
neutral,entailment,contradiction,contradiction
entailment,entailment,entailment,entailment
contradiction,neutral,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,(4).,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,neutral,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entail,neutral,neutral
neutral,entailment,entailment,entailment
entailment,entail,contradiction,contradiction
contradiction,entailment,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,no,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entails,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,contradiction,entailment,entailment
contradiction,no,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,no
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,contradiction
neutral,entails,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,contradiction,contradiction,contradiction
neutral,entails,entailment,entailment
entailment,etyl,entailment,entailment
contradiction,entail,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,contradiction,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entails,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,no,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,no,no
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,contradiction,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entail,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,neutral,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,contradiction,contradiction,contradiction
neutral,contradiction,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,neutral,contradiction,contradiction
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entails,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entails,entailment,entailment
entailment,entailment,neutral,contradiction
contradiction,neutral,entailment,entailment
neutral,entailment,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,neutral,entailment,entailment
neutral,neutral,entailment,entailment
entailment,neutral,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,entailment,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
contradiction,entailment,entailment,entailment
neutral,neutral,entailment,entailment
entailment,entailment,entailment,entailment
